run_id,entity_type,entity_name,query,total_latency,success,start_time,end_time,rewrite_time,retrieve_time,rerank_time,generate_time,generator_tokens,generator_prompt_tokens,generator_completion_tokens,rewriter_tokens,ttft,tps
019d0ced-f510-7913-a2a1-776785814e50,landmark,Sphinx,"Sphinx, what does the Inventory Stele reveal about your existence in relation to Khufu and Khafre?",4.496122,True,2026-03-20 20:26:54.608418,2026-03-20 20:26:59.104540,1.451714,0.768391,0.307081,1.956468,1844,1066,778,1057,2.6771860000000003,397.6553667118501
019d0ced-d204-7aa1-a612-5ab759cf1a7b,landmark,Pyramid of Saqqara - Pyramid of Djoser,"Through which entrances can you be accessed, and which route is considered more convenient?",6.164834,True,2026-03-20 20:26:45.636257,2026-03-20 20:26:51.801091,1.438878,0.636582,2.962643,1.111812,1350,985,365,1139,5.188103,328.29291283058643
019d0ced-a781-7b02-8d02-14eef236efe8,pharaoh,Anubis (God),"Anubis, why were you such a popular and enduring god?",8.257901,True,2026-03-20 20:26:34.753096,2026-03-20 20:26:43.010997,1.291843,0.617879,4.788581,1.539754,1451,837,614,1119,6.848303,398.76499752557874
019d0ced-906b-7501-9bda-52ee93e4d702,landmark,Temple of Derr,You have depictions of which deities on the sides of your pillars?,3.306173,True,2026-03-20 20:26:28.841207,2026-03-20 20:26:32.147380,1.154723,0.737336,0.285714,1.109404,1453,1085,368,913,2.327773,331.70963868888157
019d0ced-78b5-7912-b205-e9c1f434312c,pharaoh,Taweret (Goddess),"Taweret, how do you protect expectant mothers and the deceased on their journey?",3.279216,True,2026-03-20 20:26:22.773091,2026-03-20 20:26:26.052307,1.05041,0.707925,0.372398,1.132534,1366,1033,333,1002,2.280733,294.0309076813588
019d0ced-6110-7022-a08e-8d47921016c6,pharaoh,Senwosret IV,You are known from a colossal pink granite statue; where was this statue discovered and where is it now housed?,3.418257,True,2026-03-20 20:26:16.719145,2026-03-20 20:26:20.137402,1.00216,0.982915,0.306374,1.119638,1294,937,357,1023,2.441449,318.85305786334516
019d0ced-3cfc-7232-b071-9e71c57c9003,pharaoh,Hathor (Goddess),"Hathor, what titles and patronages did you hold across different lands, and how were your priests distinct?",6.552778,True,2026-03-20 20:26:07.479744,2026-03-20 20:26:14.032522,1.472893,2.887404,0.33559,1.844482,1755,1036,719,1231,4.845887,389.81133998596897
019d0ced-2035-7e43-8bab-407c06bebf2e,landmark,Tomb of Petosiris,What do the registers on the left side of your tomb depict?,4.742018,True,2026-03-20 20:26:00.112111,2026-03-20 20:26:04.854129,2.222481,0.705579,0.384647,1.402513,1421,873,548,1451,3.4627070000000004,390.72721607571555
019d0cec-fc36-79c3-be17-938eaa069b30,landmark,Temple of Maharraqa,"Temple of Maharraqa, when were you dismantled and later rebuilt, and where are you located now?",6.531488,True,2026-03-20 20:25:50.901215,2026-03-20 20:25:57.432703,2.459079,0.927861,0.652898,2.470928,1325,1020,305,1580,4.189838,123.43540564516653
019d0cec-e3f1-7d12-a6c1-463c3d0fb657,landmark,Colossoi of Memnon,"What earthquakes have damaged you, and who oversaw the Roman reconstruction of your northern figure?",3.616783,True,2026-03-20 20:25:44.687764,2026-03-20 20:25:48.304547,1.062306,0.855868,0.313595,1.362161,1526,999,527,977,2.381769,386.8852507155909
019d0cec-cd62-7ba0-a39c-c29428f012b3,landmark,Osireion,You have a water channel surrounding the island in your central hall; how deep is that channel?,3.111086,True,2026-03-20 20:25:38.913014,2026-03-20 20:25:42.024100,1.251534,0.678483,0.286514,0.880687,1104,796,308,1012,2.3665309999999997,349.7269745096726
019d0cec-b61a-7353-975a-877ba87c7aac,pharaoh,Thutmose IV,You were examined by researchers in 1980; what did they find about your physical resemblance to other peoples?,3.356334,True,2026-03-20 20:25:32.953276,2026-03-20 20:25:36.309610,1.207196,0.789396,0.311369,1.037441,1441,1065,376,1071,2.4579609999999996,362.43024904548787
019d0cec-9d9b-71b1-9913-689c121105c5,landmark,Temple of Luxor,What role do you play in the annual Opet Festival?,3.610346,True,2026-03-20 20:25:26.683130,2026-03-20 20:25:30.293476,1.287483,0.737882,0.430729,1.142267,1269,836,433,1011,2.6060939999999997,379.07074265473835
019d0cec-679e-7933-90f2-cafe20c7f968,landmark,Pompeys Pillar - Serapeum of Alexandria,Why do you bear the name Pompey's Pillar even though the dates don’t match?,11.103316,True,2026-03-20 20:25:12.861467,2026-03-20 20:25:23.964783,1.560564,6.001099,2.387389,1.137218,1367,942,425,1194,10.099052,373.7190230896802
019d0cec-4cad-7043-9937-0ca8978f3059,landmark,Temple of Kalabsha,"Temple of Kalabsha, when were you relocated and what prompted the move?",4.260937,True,2026-03-20 20:25:05.962277,2026-03-20 20:25:10.223214,1.297138,0.884245,0.338777,1.727323,1602,938,664,948,2.6701599999999996,384.40986428131856
019d0cec-310e-7a71-acb7-757d200ba8ed,landmark,Ramessum,"You, Ramessum, what statue stood in the first courtyard accessed through the first pylon, and what were its dimensions and origin?",4.451634,True,2026-03-20 20:24:58.892219,2026-03-20 20:25:03.343853,2.200351,0.65711,0.297413,1.278116,1227,769,458,1569,3.304874,358.3399315868043
019d0cec-19f1-7ee3-a5ed-14b495c0ddff,landmark,Sphinx of Memphis,"When were you carved and which dynasty does that correspond to, and which rulers might you represent?",3.31678,True,2026-03-20 20:24:52.968999,2026-03-20 20:24:56.285779,1.138162,0.861738,0.319609,0.977208,1221,868,353,893,2.4695089999999995,361.2332277263387
